dates,mean,p2.5,p25,p75,p97.5
18/02/22,14272.0,14272.0,14272.0,14272.0,14272.0
19/02/22,14278.3564753004,14275.285714285714,14277.142857142857,14279.428571428572,14282.42857142857
20/02/22,14284.996662216286,14278.810714285713,14282.42857142857,14287.142857142857,14292.903571428571
21/02/22,14291.892857142859,14282.667857142857,14288.0,14295.285714285714,14303.32857142857
22/02/22,14299.016355140187,14286.717857142858,14293.714285714284,14303.42857142857,14313.857142857141
23/02/22,14306.379839786381,14290.907142857144,14300.0,14311.892857142857,14324.757142857145
24/02/22,14313.997997329774,14295.385714285716,14306.107142857145,14321.214285714286,14335.37142857143
25/02/22,14321.885847797064,14300.67142857143,14312.42857142857,14331.285714285714,14346.139285714286
26/02/22,14330.041388518024,14305.285714285717,14319.285714285714,14341.0,14357.57142857143
27/02/22,14338.389519359143,14310.05,14326.107142857145,14350.785714285714,14368.325
28/02/22,14346.961949265688,14315.382142857143,14333.428571428572,14361.32142857143,14379.714285714286
01/03/22,14355.751001335113,14321.107142857141,14341.07142857143,14372.071428571428,14391.903571428571
02/03/22,14364.69592790387,14326.528571428571,14348.42857142857,14382.607142857145,14404.37142857143
03/03/22,14373.819759679573,14332.435714285715,14355.892857142857,14393.178571428572,14417.417857142857
04/03/22,14383.054072096127,14338.814285714285,14363.42857142857,14404.285714285714,14430.521428571428
05/03/22,14392.377503337782,14345.196428571428,14370.642857142857,14414.92857142857,14441.985714285714
06/03/22,14401.780040053403,14350.867857142857,14378.285714285714,14426.178571428572,14454.610714285714
07/03/22,14411.21862483311,14356.635714285714,14386.357142857141,14437.607142857141,14467.282142857142
08/03/22,14420.717289719627,14361.967857142856,14394.32142857143,14448.75,14479.035714285714
09/03/22,14430.26769025367,14367.05,14402.964285714286,14459.714285714286,14491.042857142857
10/03/22,14439.906208277702,14373.582142857143,14411.214285714286,14471.214285714288,14503.664285714287
11/03/22,14449.668891855807,14381.003571428571,14419.464285714286,14482.071428571428,14516.900000000001
12/03/22,14459.621495327103,14387.389285714286,14427.642857142857,14493.714285714284,14531.600000000002
13/03/22,14469.81909212283,14394.107142857145,14435.67857142857,14506.5,14546.175
14/03/22,14480.399866488653,14401.860714285714,14444.67857142857,14519.32142857143,14560.95
15/03/22,14491.426234979974,14407.957142857143,14453.428571428572,14532.5,14576.285714285717
