dates,mean,p2.5,p25,p75,p97.5
18/02/22,7447.144859813084,6652.071428571429,6825.678571428572,7779.142857142857,9210.364285714284
19/02/22,7663.448264352469,6861.128571428571,7135.25,7992.857142857143,9249.653571428571
20/02/22,7875.526368491322,7063.253571428571,7388.25,8216.964285714286,9320.667857142857
21/02/22,8076.5160213618165,7339.242857142857,7647.535714285714,8427.678571428572,9299.457142857143
22/02/22,8253.932910547397,7534.657142857142,7865.214285714286,8577.535714285714,9309.8
23/02/22,8418.105807743657,7649.85,8081.964285714286,8734.607142857143,9290.492857142857
24/02/22,8555.390854472631,7818.085714285715,8262.357142857145,8860.607142857141,9269.635714285712
25/02/22,8667.979639519359,7890.217857142857,8446.928571428572,8968.321428571428,9210.814285714285
26/02/22,8760.121829105476,7862.039285714286,8560.25,9052.607142857145,9292.282142857142
27/02/22,8830.513017356476,7812.364285714286,8613.928571428572,9132.07142857143,9400.642857142857
28/02/22,8866.112483311083,7776.414285714286,8594.928571428572,9207.607142857145,9515.010714285714
01/03/22,8883.624499332444,7701.517857142857,8578.785714285714,9273.821428571428,9594.775
02/03/22,8880.555407209613,7622.078571428572,8521.464285714286,9352.464285714286,9671.371428571429
03/03/22,8850.087783711617,7422.371428571429,8450.214285714286,9366.642857142857,9747.867857142857
04/03/22,8795.611481975968,7298.303571428572,8305.5,9387.035714285714,9817.207142857143
05/03/22,8749.62349799733,7242.671428571429,8196.892857142859,9345.928571428572,9838.314285714287
06/03/22,8690.73831775701,7180.382142857143,8126.75,9324.42857142857,9873.560714285713
07/03/22,8635.875166889185,7122.828571428572,8069.5714285714275,9304.214285714286,9935.646428571428
08/03/22,8627.172563417891,7211.939285714285,8046.8214285714275,9271.107142857141,9938.707142857143
09/03/22,8670.134178905206,7345.267857142858,8116.678571428572,9235.5,9957.732142857143
10/03/22,8793.898865153538,7640.535714285715,8317.392857142857,9300.285714285714,10092.689285714285
11/03/22,9021.211281708944,8034.525,8584.821428571428,9457.892857142857,10327.439285714285
12/03/22,9353.819759679573,8555.153571428571,8958.642857142857,9608.357142857143,10780.307142857142
13/03/22,9786.415887850466,9132.914285714285,9458.42857142857,9907.964285714286,11304.37857142857
14/03/22,10325.862483311083,9823.621428571429,9952.928571428572,10422.464285714286,11925.017857142855
15/03/22,10926.054739652871,10183.178571428572,10517.928571428572,11145.25,12537.032142857142
16/03/22,11564.400867823764,10566.596428571429,11093.25,11925.392857142859,13036.810714285713
17/03/22,12211.382843791722,11022.07142857143,11689.857142857143,12727.321428571428,13554.835714285713
18/03/22,12828.999332443258,11556.42142857143,12231.92857142857,13487.785714285714,14091.467857142856
19/03/22,13376.75834445928,12102.996428571429,12755.035714285714,14085.678571428572,14757.107142857143
20/03/22,13852.835113484647,12499.089285714286,13153.535714285714,14538.714285714286,15410.957142857142
21/03/22,14227.893190921228,12777.332142857143,13472.607142857143,14965.321428571428,16078.32857142857
22/03/22,14481.22363150868,12870.29642857143,13525.25,15282.535714285714,16595.6
23/03/22,14621.000333778371,12640.42142857143,13497.535714285714,15560.785714285714,17127.164285714287
24/03/22,14631.889185580776,12215.571428571428,13374.75,15689.25,17713.385714285712
25/03/22,14503.967289719627,11360.003571428571,13128.571428571428,15754.107142857143,17952.06428571429
26/03/22,14311.274365821097,10828.382142857143,12717.678571428572,15688.678571428572,18322.464285714283
27/03/22,13999.866822429907,10240.792857142857,12054.035714285714,15488.214285714286,18804.264285714286
28/03/22,13566.056074766355,9083.467857142856,11621.82142857143,15260.214285714286,19281.73214285714
29/03/22,13091.993991989319,8438.546428571428,10857.785714285714,14867.428571428572,19713.571428571428
30/03/22,12547.93424566088,7645.071428571429,10122.75,14458.642857142857,19879.53214285714
31/03/22,11937.136849132177,6934.467857142858,9379.67857142857,13863.75,19585.53214285714
01/04/22,11249.320427236316,6191.07857142857,8479.321428571428,13001.392857142857,19543.389285714286
02/04/22,10565.049399198931,5615.528571428572,7816.1785714285725,12387.392857142855,19279.042857142857
03/04/22,9821.727970627502,4771.7357142857145,6978.285714285714,11725.428571428572,18851.092857142856
04/04/22,9011.947930574099,4078.3,6337.142857142857,10764.607142857145,18381.425
05/04/22,8238.041722296395,3608.7249999999995,5454.714285714285,9877.357142857143,17702.95357142857
06/04/22,7476.7660213618165,2976.614285714286,4911.428571428572,9032.392857142859,16509.12857142857
07/04/22,6775.072429906541,2574.3678571428572,4361.785714285714,8396.25,15565.549999999997
08/04/22,6157.064419225634,2257.0285714285715,3775.8214285714284,7662.928571428571,14279.114285714284
09/04/22,5655.440921228305,2001.232142857143,3333.25,7089.178571428571,12972.382142857141
10/04/22,5219.816088117489,1780.4535714285712,2933.285714285714,6595.321428571428,11745.967857142854
11/04/22,4888.596795727636,1604.9785714285713,2589.714285714286,6375.0,10708.935714285713
12/04/22,4643.227970627503,1444.6214285714286,2322.3928571428573,6290.678571428571,10168.810714285713
13/04/22,4441.261348464619,1294.2,2119.2142857142862,6218.321428571428,9967.485714285713
14/04/22,4276.17256341789,1167.4464285714287,1967.1428571428569,6128.9285714285725,9731.20357142857
15/04/22,4133.686915887851,1051.0428571428572,1804.6785714285713,6023.214285714285,9539.857142857141
16/04/22,3999.4402536715625,949.9285714285716,1667.5357142857142,5897.178571428572,9333.021428571428
17/04/22,3867.322429906542,854.4571428571429,1536.857142857143,5730.5,9124.867857142857
18/04/22,3733.908878504673,770.5964285714285,1406.5,5555.714285714286,8936.864285714284
19/04/22,3595.8661548731643,693.6857142857143,1285.0357142857142,5365.535714285714,8678.70357142857
20/04/22,3450.894859813084,623.0428571428571,1181.607142857143,5203.535714285714,8414.424999999997
21/04/22,3298.6812416555404,557.1928571428572,1082.642857142857,4992.178571428571,8292.47857142857
22/04/22,3139.871829105474,501.5464285714286,991.8214285714287,4808.285714285715,8011.25
23/04/22,2976.772029372497,450.98571428571427,919.3571428571429,4649.964285714285,7666.932142857141
24/04/22,2809.954939919893,398.1821428571429,845.8928571428571,4392.571428571428,7308.067857142857
25/04/22,2641.4859813084113,357.8571428571429,768.9285714285714,4133.392857142857,7000.525
26/04/22,2473.053404539386,319.1142857142857,704.0714285714284,3898.75,6667.4464285714275
27/04/22,2307.3961949265686,285.78214285714284,643.2857142857142,3671.7142857142853,6287.242857142856
28/04/22,2144.913217623498,255.25357142857143,581.6071428571429,3426.8571428571427,5941.828571428571
29/04/22,1987.222963951936,229.82142857142856,526.8214285714286,3175.642857142857,5589.017857142857
30/04/22,1835.8915220293727,202.2,477.7142857142858,2880.285714285714,5244.271428571428
01/05/22,1691.7736982643528,177.01071428571427,431.85714285714283,2667.0,4908.8785714285705
02/05/22,1554.8331108144191,153.66785714285714,389.57142857142856,2477.6785714285716,4556.5142857142855
03/05/22,1424.8805073431242,131.2892857142857,352.78571428571433,2240.75,4198.2642857142855
04/05/22,1303.3891855807742,115.7107142857143,321.14285714285717,2053.6071428571427,3859.582142857142
05/05/22,1189.5690921228304,99.25,289.6428571428571,1870.8214285714287,3540.610714285714
06/05/22,1083.5090120160214,87.42857142857143,259.32142857142856,1705.7857142857142,3219.967857142857
07/05/22,985.2506675567422,74.81428571428572,237.28571428571428,1563.9642857142858,2947.9714285714285
08/05/22,894.14085447263,67.81071428571428,218.0,1404.7857142857142,2683.6
09/05/22,810.1525367156208,60.34285714285714,194.8928571428571,1286.607142857143,2428.935714285714
